Start,InstructionList
Instruction,identifier
Instruction,Signature
Enter,enter
Enter,empty
InstructionList,Instruction
InstructionList,empty
Signature,pr_setd
Signature,pr_seth
Signature,pr_setactual
Signature,pr_setlibre
Signature,pr_setin
Signature,pr_setout
Signature,pr_setpo
Signature,pr_setlabel
Signature,pr_jumpt
Signature,pr_jump
Signature,pr_halt
Annotation,annotation
Annotation,empty
Expression,UnaryOp
Expression,Operand
UnaryOp,plus
UnaryOp,minus
UnaryOp,not
Operand,pr_d
Operand,pr_h
Operand,pr_actual
Operand,pr_libre
Operand,identifier
Operand,pr_pc
Operand,pr_po
Operand,open_parenthesis
Operand,int
ExpressionRemainder,BinaryOp
ExpressionRemainder,empty
String,apostrophe
BinaryOp,plus
BinaryOp,minus
BinaryOp,multiplication
BinaryOp,division
BinaryOp,equals
BinaryOp,different
BinaryOp,lesser
BinaryOp,lesser_or_equal
BinaryOp,greater
BinaryOp,greater_or_equal
BinaryOp,and
BinaryOp,or
BinaryOp,mod